Segmento,Subgrupo / Família,Raça / Linha Base,Mutação / Sub-variedade,Categoria / Plumagem,Código / Classe Estimada FOB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Asas Cinzas,Intenso,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Asas Cinzas,Nevado,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Asas Cinzas,Mosaico Macho,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Asas Cinzas,Mosaico Fêmea,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Asas Cinzas,Intenso,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Asas Cinzas,Nevado,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Asas Cinzas,Mosaico Macho,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Asas Cinzas,Mosaico Fêmea,MEL-NE-ASA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Asas Cinzas,Intenso,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Asas Cinzas,Nevado,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Asas Cinzas,Mosaico Macho,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Asas Cinzas,Mosaico Fêmea,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Asas Cinzas,Intenso,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Asas Cinzas,Nevado,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Asas Cinzas,Mosaico Macho,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Asas Cinzas,Mosaico Fêmea,MEL-NE-ASA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Opala,Intenso,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Opala,Nevado,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Opala,Mosaico Macho,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Opala,Mosaico Fêmea,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Opala,Não Aplicável (Fundo Branco/Azul),MEL-NE-OPA-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Opala,Intenso,MEL-NE-OPA-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Opala,Nevado,MEL-NE-OPA-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Opala,Mosaico Macho,MEL-NE-OPA-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Opala,Mosaico Fêmea,MEL-NE-OPA-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Opala,Intenso,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Opala,Nevado,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Opala,Mosaico Macho,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Opala,Mosaico Fêmea,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Opala,Intenso,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Opala,Nevado,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Opala,Mosaico Macho,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Opala,Mosaico Fêmea,MEL-NE-OPA-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Opala,Intenso,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Opala,Nevado,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Opala,Mosaico Macho,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Opala,Mosaico Fêmea,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Opala,Intenso,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Opala,Nevado,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Opala,Mosaico Macho,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Opala,Mosaico Fêmea,MEL-NE-OPA-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Ino,Intenso,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Ino,Nevado,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Ino,Mosaico Macho,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Ino,Mosaico Fêmea,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Ino,Não Aplicável (Fundo Branco/Azul),MEL-NE-INO-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Ino,Intenso,MEL-NE-INO-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Ino,Nevado,MEL-NE-INO-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Ino,Mosaico Macho,MEL-NE-INO-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Ino,Mosaico Fêmea,MEL-NE-INO-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Ino,Intenso,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Ino,Nevado,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Ino,Mosaico Macho,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Ino,Mosaico Fêmea,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Ino,Intenso,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Ino,Nevado,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Ino,Mosaico Macho,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Ino,Mosaico Fêmea,MEL-NE-INO-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Ino,Intenso,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Ino,Nevado,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Ino,Mosaico Macho,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Ino,Mosaico Fêmea,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Ino,Intenso,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Ino,Nevado,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Ino,Mosaico Macho,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Ino,Mosaico Fêmea,MEL-NE-INO-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Topázio,Intenso,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Topázio,Nevado,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Topázio,Mosaico Macho,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Topázio,Mosaico Fêmea,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Topázio,Não Aplicável (Fundo Branco/Azul),MEL-NE-TOP-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Topázio,Intenso,MEL-NE-TOP-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Topázio,Nevado,MEL-NE-TOP-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Topázio,Mosaico Macho,MEL-NE-TOP-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Topázio,Mosaico Fêmea,MEL-NE-TOP-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Topázio,Intenso,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Topázio,Nevado,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Topázio,Mosaico Macho,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Topázio,Mosaico Fêmea,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Topázio,Intenso,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Topázio,Nevado,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Topázio,Mosaico Macho,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Topázio,Mosaico Fêmea,MEL-NE-TOP-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Topázio,Intenso,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Topázio,Nevado,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Topázio,Mosaico Macho,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Topázio,Mosaico Fêmea,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Topázio,Intenso,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Topázio,Nevado,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Topázio,Mosaico Macho,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Topázio,Mosaico Fêmea,MEL-NE-TOP-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Eumo,Intenso,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Eumo,Nevado,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Eumo,Mosaico Macho,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Eumo,Mosaico Fêmea,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Eumo,Não Aplicável (Fundo Branco/Azul),MEL-NE-EUM-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Eumo,Intenso,MEL-NE-EUM-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Eumo,Nevado,MEL-NE-EUM-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Eumo,Mosaico Macho,MEL-NE-EUM-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Eumo,Mosaico Fêmea,MEL-NE-EUM-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Eumo,Intenso,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Eumo,Nevado,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Eumo,Mosaico Macho,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Eumo,Mosaico Fêmea,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Eumo,Intenso,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Eumo,Nevado,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Eumo,Mosaico Macho,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Eumo,Mosaico Fêmea,MEL-NE-EUM-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Eumo,Intenso,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Eumo,Nevado,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Eumo,Mosaico Macho,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Eumo,Mosaico Fêmea,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Eumo,Intenso,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Eumo,Nevado,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Eumo,Mosaico Macho,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Eumo,Mosaico Fêmea,MEL-NE-EUM-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Onix,Intenso,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Onix,Nevado,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Onix,Mosaico Macho,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Onix,Mosaico Fêmea,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Onix,Não Aplicável (Fundo Branco/Azul),MEL-NE-ONI-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Onix,Intenso,MEL-NE-ONI-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Onix,Nevado,MEL-NE-ONI-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Onix,Mosaico Macho,MEL-NE-ONI-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Onix,Mosaico Fêmea,MEL-NE-ONI-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Onix,Intenso,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Onix,Nevado,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Onix,Mosaico Macho,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Onix,Mosaico Fêmea,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Onix,Intenso,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Onix,Nevado,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Onix,Mosaico Macho,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Onix,Mosaico Fêmea,MEL-NE-ONI-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Onix,Intenso,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Onix,Nevado,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Onix,Mosaico Macho,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Onix,Mosaico Fêmea,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Onix,Intenso,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Onix,Nevado,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Onix,Mosaico Macho,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Onix,Mosaico Fêmea,MEL-NE-ONI-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Cobalto,Intenso,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Cobalto,Nevado,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Cobalto,Mosaico Macho,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Cobalto,Mosaico Fêmea,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Cobalto,Não Aplicável (Fundo Branco/Azul),MEL-NE-COB-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Cobalto,Intenso,MEL-NE-COB-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Cobalto,Nevado,MEL-NE-COB-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Cobalto,Mosaico Macho,MEL-NE-COB-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Cobalto,Mosaico Fêmea,MEL-NE-COB-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Cobalto,Intenso,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Cobalto,Nevado,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Cobalto,Mosaico Macho,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Cobalto,Mosaico Fêmea,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Cobalto,Intenso,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Cobalto,Nevado,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Cobalto,Mosaico Macho,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Cobalto,Mosaico Fêmea,MEL-NE-COB-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Cobalto,Intenso,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Cobalto,Nevado,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Cobalto,Mosaico Macho,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Cobalto,Mosaico Fêmea,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Cobalto,Intenso,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Cobalto,Nevado,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Cobalto,Mosaico Macho,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Cobalto,Mosaico Fêmea,MEL-NE-COB-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Simples Diluição,Intenso,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Simples Diluição,Nevado,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Simples Diluição,Mosaico Macho,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Simples Diluição,Mosaico Fêmea,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Jaspe Simples Diluição,Não Aplicável (Fundo Branco/Azul),MEL-NE-JAS-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Simples Diluição,Intenso,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Simples Diluição,Nevado,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Simples Diluição,Mosaico Macho,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Simples Diluição,Mosaico Fêmea,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Simples Diluição,Intenso,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Simples Diluição,Nevado,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Simples Diluição,Mosaico Macho,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Simples Diluição,Mosaico Fêmea,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Simples Diluição,Intenso,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Simples Diluição,Nevado,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Simples Diluição,Mosaico Macho,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Simples Diluição,Mosaico Fêmea,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Simples Diluição,Intenso,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Simples Diluição,Nevado,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Simples Diluição,Mosaico Macho,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Simples Diluição,Mosaico Fêmea,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Simples Diluição,Intenso,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Simples Diluição,Nevado,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Simples Diluição,Mosaico Macho,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Simples Diluição,Mosaico Fêmea,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Dupla Diluição,Intenso,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Dupla Diluição,Nevado,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Dupla Diluição,Mosaico Macho,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Jaspe Dupla Diluição,Mosaico Fêmea,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Jaspe Dupla Diluição,Não Aplicável (Fundo Branco/Azul),MEL-NE-JAS-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Dupla Diluição,Intenso,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Dupla Diluição,Nevado,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Dupla Diluição,Mosaico Macho,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Jaspe Dupla Diluição,Mosaico Fêmea,MEL-NE-JAS-COB
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Dupla Diluição,Intenso,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Dupla Diluição,Nevado,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Dupla Diluição,Mosaico Macho,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo,Jaspe Dupla Diluição,Mosaico Fêmea,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Dupla Diluição,Intenso,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Dupla Diluição,Nevado,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Dupla Diluição,Mosaico Macho,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Amarelo Marfim,Jaspe Dupla Diluição,Mosaico Fêmea,MEL-NE-JAS-AMA
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Dupla Diluição,Intenso,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Dupla Diluição,Nevado,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Dupla Diluição,Mosaico Macho,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho,Jaspe Dupla Diluição,Mosaico Fêmea,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Dupla Diluição,Intenso,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Dupla Diluição,Nevado,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Dupla Diluição,Mosaico Macho,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Negro Oxidado Vermelho Marfim,Jaspe Dupla Diluição,Mosaico Fêmea,MEL-NE-JAS-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Mogno,Intenso,MEL-NE-MOG-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Mogno,Nevado,MEL-NE-MOG-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Mogno,Mosaico Macho,MEL-NE-MOG-VER
Cor,Melânicos Negro Oxidado,Verde (Negro Amarelo),Mogno,Mosaico Fêmea,MEL-NE-MOG-VER
Cor,Melânicos Negro Oxidado,Azul (Negro Branco),Mogno,Não Aplicável (Fundo Branco/Azul),MEL-NE-MOG-AZU
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Mogno,Intenso,MEL-NE-MOG-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Mogno,Nevado,MEL-NE-MOG-COB
Cor,Melânicos Negro Oxidado,Cobre (Negro Vermelho),Mogno,Mosaico Macho,MEL-NE-MOG-COB
